,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud,poa,flow,trans,pump,Qaux,Qproc,Qdel,Qloss,Qtrans,Qusef,Tcold,Thot,Tmains,Ttank,Tdel,Vcold,Vhot,Qcol,EffCol,Qsto,Qpeak,Qgross
2018-08-22 14:00:00,1077.13,1036.7,31.25,9.18,885.22,852.56,32.66,1128.8,16.66,4.83,0.0,0.0,885.4051512633997,862825.9551753156,823.7635502659069,0.052941177500199145,0.0,0.0,856.9884777395171,13.009154042702233,1482.774460906637,865.7019934467216,88.89640640682451,90.85500810892425,90.0,90.20866954723134,90.85500810892425,180.0,0.0,295.6400458113888,0.9777467323421788,865.7019934467216,0.0,779.1317941020495
2018-08-22 15:00:00,924.09,885.94,30.39,7.77,748.66,716.9,31.76,1107.94,17.39,5.91,0.0,0.0,748.9628490400357,862825.9551753156,664.569562111583,0.052941177500199145,0.0,0.0,622.7158751796418,12.99921373477352,1196.2252686184981,624.4976018206469,89.2083864396376,90.62127687438557,90.0,90.15502303091874,90.62127687438557,180.0,0.0,213.26796173390326,0.8338165272430815,624.4976018206469,0.0,562.0478416385822
2018-08-22 16:00:00,701.93,667.53,28.68,5.72,551.34,521.36,29.98,1065.67,16.95,5.92,0.0,0.0,551.7091707597539,862825.9551753156,24.10768774377648,0.0,0.0,0.0,-146.59357051613975,11.649050509534861,43.393839999894375,0.0,89.85374518472166,90.15502303091874,90.0,89.85374518472166,89.85374518472166,180.0,0.0,45.476217117637184,0.0,0.0,0.0,0.0
2018-08-22 17:00:00,426.89,398.57,25.11,3.22,310.16,283.92,26.24,971.65,16.39,5.63,0.0,0.0,310.90289275060377,862825.9551753156,21.054047909321664,0.0,0.0,0.0,-34.956908850589485,11.667624401901477,37.8972880368035,0.0,89.96512387119951,90.15502303091874,90.0,89.96512387119951,89.96512387119951,180.0,0.0,28.664223164286312,0.0,0.0,0.0,0.0
2018-08-22 18:00:00,114.88,101.17,13.13,0.58,56.2,42.48,13.72,608.98,14.05,3.55,0.0,0.0,58.08126698169211,862825.9551753156,11.009177249718709,0.0,0.0,0.0,-15.690191178003968,11.670829961212995,19.816519990727823,0.0,89.9843460664452,90.15502303091874,90.0,89.9843460664452,89.9843460664452,180.0,0.0,25.76273958192314,0.0,0.0,0.0,0.0
2018-08-22 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.97,0.53,1.0,0.0,0.0,862825.9551753156,0.0,0.0,0.0,0.0,-12.365061204225073,11.671383189922242,0.0,0.0,89.98766351255405,90.15502303091874,90.0,89.98766351255405,89.98766351255405,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-22 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.98,2.27,1.0,0.0,0.0,862825.9551753156,0.0,0.0,0.0,0.0,-11.791196494602584,11.671478668425365,0.0,0.0,89.98823605115042,90.15502303091874,90.0,89.98823605115042,89.98823605115042,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-22 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.52,3.59,1.0,0.0,0.0,862825.9551753156,0.0,0.0,0.0,0.0,-11.692156545021568,11.671495146501082,0.0,0.0,89.98833486223388,90.15502303091874,90.0,89.98833486223388,89.98833486223388,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-22 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.37,4.57,1.0,0.0,0.0,862825.9551753156,0.0,0.0,0.0,0.0,-11.675063820128008,11.671497990355668,0.0,0.0,89.98835191546011,90.15502303091874,90.0,89.98835191546011,89.98835191546011,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-22 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.48,5.33,1.0,0.0,0.0,862825.9551753156,0.0,0.0,0.0,0.0,-11.672113886828676,11.671498481159878,0.0,0.0,89.98835485857657,90.15502303091874,90.0,89.98835485857657,89.98835485857657,180.0,0.0,0.0,0.0,0.0,0.0,0.0
