ID,ton_emision,n_equip,raz_social,nombre,rubro,ciiu4,region,provincia,comuna,huso,coord_norte,coord_este,Latitud,Longitud,max_emision,orden,catg,x,y,pt_size,clr
5452204,1914.12,1,LEVADURAS COLLICO S A,LEVADURAS COLLICO SA,Producción de alimentos,ELABORACIÓN DE OTROS PRODUCTOS ALIMENTICIOS N.C.P.,Los Ríos,Valdivia,Valdivia,18.0,5590731.0,653020.0,-39.819644653855455,-73.21209863153115,1914.12,1,2,-8149933.539568969,-4839768.0409077015,7.5570132659723575,#aec7e8
5452221,38224.83,3,WATT'S  S.A.,WATTS OSORNO,Producción de alimentos,ELABORACIÓN DE OTROS PRODUCTOS ALIMENTICIOS N.C.P.,Los Lagos,Osorno,Osorno,18.0,5505160.0,661028.0,-40.58869478569998,-73.09714857618451,25988.5,1,2,-8137137.357941123,-4951862.228887512,10.551240583436163,#aec7e8
5452311,23250.739999999998,2,SOPROLE S.A.,SOPROLE,Producción de alimentos,"VENTA AL POR MAYOR DE ALIMENTOS, BEBIDAS Y TABACO",Metropolitana,Maipo,San Bernardo,19.0,6286243.0,342167.0,-33.55180252679125,-70.70013892844871,16770.027,1,2,-7870303.464528609,-3968777.660674119,10.054092238465993,#aec7e8
5452889,5943.6,1,ECOFOOD S.A.,ECOFOOD,Producción de alimentos,ELABORACIÓN DE ALIMENTOS PREPARADOS PARA ANIMALES,Maule,Linares,Retiro,19.0,6013933.0,251157.0,-35.98733107573975,-71.76023233914907,5943.6,1,2,-7988312.523201078,-4298878.28759803,8.690070289382192,#aec7e8
5453663,14699.48,3,CORP NACIONAL DEL COBRE DE CHILE,HTTP://WWW.CODELCO.CL,Extracción de minerales,EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS N.C.P.,Antofagasta,Antofagasta,Sierra Gorda,19.0,7403833.0,525578.0,-23.47537050954009,-68.74952841680894,6046.35,1,7,-7653162.495636864,-2689608.7900590706,9.595567397991488,#d62728
5453774,8092.34,1,COMERCIAL GUIVAR LIMITADA,COMERCIAL GUIVAR LIMITADA,Industria manufacturera,ASERRADO Y ACEPILLADURA DE MADERAS,Biobío,Ñuble,Treguaco,18.0,5965219.0,707641.0,-36.435803873744064,-72.68351895106484,8092.34,1,6,-8091092.318695788,-4360754.201213258,8.998673214211678,#98df8a
5457682,2806.87,1,COMPANIA PISQUERA DE CHILE S A,PLANTA PISQUERA DE SALAMANCA,Producción de alimentos,"DESTILACIÓN, RECTIFICACIÓN Y MEZCLAS DE BEBIDAS ALCOHÓLICAS",Coquimbo,Choapa,Salamanca,19.0,6482789.0,312768.0,-31.77511543192381,-70.97724037723452,2806.87,1,2,-7901150.256705524,-3733827.098205427,7.939825262499957,#aec7e8
5457845,1116.737,2,CAUCHO TECNICA S A,CONTITECH CHILE SA,Industria manufacturera,FABRICACIÓN DE OTROS PRODUCTOS DE CAUCHO,Metropolitana,Santiago,Renca,19.0,6303972.0,342756.0,-33.39204931230351,-70.69068905699683,955.488,1,6,-7869251.509650524,-3947458.322547788,7.018166319242153,#98df8a
5460810,1767.86,1,INDUSTRIA PROCESADORA DE ACEITES Y GRASAS S.A.,INDUSTRIA PROCESADORA DE ACEITES Y GRASAS SA,Producción de alimentos,ELABORACIÓN DE OTROS PRODUCTOS ALIMENTICIOS N.C.P.,Biobío,Concepción,Coronel,18.0,5905534.0,664340.0,-36.98197383038623,-73.15351142615229,1767.86,1,2,-8143411.641699194,-4436594.469431408,7.477525054541887,#aec7e8
5460941,1711.150869,3,MINERA LAS CENIZAS S A,PLANTA DE OXIDOS TALTAL,Extracción de minerales,"EXTRACCIÓN DE MINERALES METALÍFEROS NO FERROSOS, EXCEPTO LOS MINERALES DE COBRE, URANIO Y TORIO",Antofagasta,Antofagasta,Taltal,19.0,7147165.0,367090.0,-25.78763441852284,-70.32562001796589,1655.7,1,7,-7828612.21012121,-2972802.2426043916,7.44492144592544,#d62728
5462200,1346.3449999999998,5,ELABORADORA DE ALIMENTOS FRUTALE LIMITADA,PLANTA QUILICURA,Producción de alimentos,ELABORACIÓN DE PRODUCTOS DE PANADERÍA Y GALLETAS,Metropolitana,Santiago,Quilicura,19.0,6309220.0,341094.0,-33.34448956721881,-70.70762712582513,635.6469999999998,1,2,-7871137.046847511,-3941118.969795388,7.205148792369023,#aec7e8
5462327,2595.16288,2,COOP AGRICOLA Y LECHERA DE LA UNION LTDA,PLANTA CRUCE LOS TAMBORES,Producción de alimentos,ELABORACIÓN DE PRODUCTOS LÁCTEOS,Los Ríos,Ranco,La Unión,18.0,5537699.0,663245.0,-40.295278582662725,-73.07932430310653,1531.2579999999996,1,2,-8135153.168938322,-4908944.595100113,7.861404560489577,#aec7e8
5462545,11198.5964286,2,LACTEOS DEL SUR S.A.,LACTEOS DEL SUR SA MULPULMO,Producción de alimentos,ELABORACIÓN DE PRODUCTOS LÁCTEOS,Los Lagos,Osorno,Osorno,18.0,5508203.0,674869.0,-40.558489112285955,-72.93453089550512,10759.3,1,2,-8119034.840533909,-4947435.414919952,9.32354373055512,#aec7e8
5467624,1385.35,1,NESTLE CHILE SA,NESTLE CHILE SA FABRICA PURINA,Producción de alimentos,ELABORACIÓN DE ALIMENTOS PREPARADOS PARA ANIMALES,Maule,Curicó,Teno,19.0,6141656.0,305570.0,-34.84885268814867,-71.12662680429095,1385.35,1,2,-7917779.877696873,-4143359.751657227,7.233708094277484,#aec7e8
