ID,ton_emision,n_equip,raz_social,nombre,rubro,ciiu4,region,provincia,comuna,huso,coord_norte,coord_este,Latitud,Longitud,max_emision,orden,catg,x,y,pt_size,clr
10012,424.12800000000004,2,AGRICOVIAL S A,AGRICOVIAL,Industria agropecuaria y silvicultura,CRÍA DE OTROS ANIMALES; ELABORACIÓN DE PRODUCTOS ANIMALES N.C.P.,Metropolitana,Maipo,San Bernardo,19.0,6269886.0,336802.0,-33.69845727087295,-70.76090434195747,395.92800000000005,1,3,-7877067.839418247,-3988383.7162437937,6.0500352964657615,#ff7f0e
11456,2392.462,2,AISLAPOL S.A,AISLAPOL S.A.,Industria manufacturera,FABRICACIÓN DE PRODUCTOS DE PLÁSTICO,Metropolitana,Santiago,Quinta Normal,19.0,6300396.0,343174.0,-33.4243511882505,-70.68681962205768,1744.21,1,6,-7868820.76612344,-3951765.8952693916,7.780078240233366,#98df8a
11498,5103.51,1,SCA CHILE S.A.,SCA CHILE SA,Industria del papel y celulosa,FABRICACIÓN DE OTROS ARTÍCULOS DE PAPEL Y CARTÓN,Metropolitana,Chacabuco,Lampa,19.0,6324474.0,334810.0,-33.20601818013885,-70.77234651628478,5103.51,1,16,-7878341.5764379315,-3922681.4667744646,8.537683817281234,#c7c7c7
11557,1185.838,2,UNILEVER CHILE SCC LIMITADA,UNILEVER CHILE S.A. (2),Industria manufacturera,"FABRICACIONES DE JABONES Y DETERGENTES, PREPARADOS PARA LIMPIAR Y PULIR, PERFUMES Y PREPARADOS DE TOCADOR",Metropolitana,Santiago,Quinta Normal,19.0,6300197.0,343572.0,-33.42620347864254,-70.68257496813284,641.153,1,6,-7868348.253409933,-3952012.95350868,7.078204976636011,#98df8a
11586,14665.112,1,NESTLE CHILE SA,NESTLE MACUL,Producción de alimentos,ELABORACIÓN DE PRODUCTOS LÁCTEOS,Metropolitana,Santiago,Macul,19.0,6292567.0,349847.0,-33.49589352562572,-70.61638001151404,14665.112,1,2,-7860979.464546045,-3961312.037128754,9.593226618613892,#aec7e8
11620,469.66535999999996,2,CAUCHOS INDUSTRIALES S A,CAUCHOS INDUSTRIALES S.A. (2),Industria manufacturera,FABRICACIÓN  DE CUBIERTAS Y CÁMARAS DE CAUCHO; RECAUCHUTADO  Y RENOVACIÓN  DE,Metropolitana,Santiago,Renca,19.0,6304492.0,336327.0,-33.38640039653912,-70.75969140803319,469.53,1,6,-7876932.8162314305,-3946705.183565895,6.152020441111725,#98df8a
11626,1141.89938,4,CERVECERA CCU CHILE LIMITADA,CERVECERA CCU CHILE LTDA. (2),Producción de alimentos,"ELABORACIÓN DE BEBIDAS MALTEADAS, CERVEZAS Y MALTAS",Metropolitana,Santiago,Quilicura,19.0,6307398.0,341531.0,-33.360980955985674,-70.70325284465615,1141.894,1,2,-7870650.1040951945,-3943316.7541954084,7.040448277752731,#aec7e8
11664,896.76,1,EMPRESA NACIONAL DE AERONAUTICA DE CHILE,EMPRESA NACIONAL DE AERONAUTICA DE CHILE,Industria manufacturera,FABRICACIÓN DE AERONAVES Y NAVES ESPACIALES,Metropolitana,Santiago,El Bosque,19.0,6284359.0,343434.0,-33.56897463630057,-70.68682655334537,896.76,1,6,-7868821.537710857,-3971071.65104456,6.798788267730199,#98df8a
11669,70.3303,1,ENVASES CMF SOCIEDAD ANONIMA,ENVASES CMF S.A. (2),Industria manufacturera,FABRICACIÓN DE PRODUCTOS DE PLÁSTICO,Metropolitana,Santiago,Pudahuel,19.0,6297109.0,335101.0,-33.452773787675646,-70.77422061513427,70.3303,1,6,-7878550.200167553,-3955557.4781211447,4.253202715915834,#98df8a
11678,9096.6412,6,GOODYEAR DE CHILE S A I C,GOODYEAR DE CHILE S.A.I.C. (2),Industria manufacturera,FABRICACIÓN  DE CUBIERTAS Y CÁMARAS DE CAUCHO; RECAUCHUTADO  Y RENOVACIÓN  DE,Metropolitana,Santiago,Maipú,19.0,6288449.0,336952.0,-33.531130660222466,-70.75588866286698,3960.77,1,6,-7876509.4965759115,-3966016.748953526,9.115660525470076,#98df8a
