"Time stamp","System power generated | (kW)","AC inverter output power | (W)","DC inverter input power | (W)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Weather file ambient temperature | (C)","Weather file beam irradiance | (W/m2)","Weather file diffuse irradiance | (W/m2)","Weather file global horizontal irradiance | (W/m2)"
"Jan 8, 01:00 am",0,0,0,14,0,14,0,0,0
"Jan 8, 02:00 am",0,0,0,13.4,0,13.4,0,0,0
"Jan 8, 03:00 am",0,0,0,12.8,0,12.8,0,0,0
"Jan 8, 04:00 am",0,0,0,12.2,0,12.2,0,0,0
"Jan 8, 05:00 am",0,0,0,11.6,0,11.6,0,0,0
"Jan 8, 06:00 am",0,0,0,11.2306,0.31451,12.4,0,0.4,0.4
"Jan 8, 07:00 am",68.4845,68484.5,75040.6,16.0252,86.2095,15.6,0,89.9,89.9
"Jan 8, 08:00 am",700.449,700449,728520,48.7397,916.703,18.8,922.7,43.1,439.6
"Jan 8, 09:00 am",786.845,786845,819154,51.2791,1057.72,21.9,1006.6,48.2,676.9
"Jan 8, 10:00 am",819.861,819861,853874,50.8469,1112.61,24.6,1052.1,51.3,880.8
"Jan 8, 11:00 am",829.716,829716,864247,51.3088,1135.76,27,1077.7,53.3,1033.7
"Jan 8, 12:00 pm",829.592,829592,864117,52.4089,1144.6,28.3,1090.8,54.2,1123.8
"Jan 8, 01:00 pm",709.263,709263,737751,47.8117,971.531,29.4,522.5,448.3,968.8
"Jan 8, 02:00 pm",833.333,833333,873133,49.6658,1142.28,30.2,1085.9,54.6,1091.9
"Jan 8, 03:00 pm",833.333,833333,871786,48.2716,1128.7,29.2,1068.1,53.4,972.7
"Jan 8, 04:00 pm",824.455,824454,858709,46.8601,1096.2,28,1035.1,51.1,795.2
"Jan 8, 05:00 pm",773.883,773883,805536,45.0947,1007.79,26.7,975.5,47.2,573.5
"Jan 8, 06:00 pm",179.428,179428,188582,30.0051,225.395,25.4,48.9,169.7,186.1
"Jan 8, 07:00 pm",30.6472,30647.2,36428.9,22.5963,43.8295,22.5,24,36.2,39
"Jan 8, 08:00 pm",0,0,0,19.8,0,19.8,0,0,0
"Jan 8, 09:00 pm",0,0,0,17.6,0,17.6,0,0,0
"Jan 8, 10:00 pm",0,0,0,15.8,0,15.8,0,0,0
"Jan 8, 11:00 pm",0,0,0,14.6,0,14.6,0,0,0
"Jan 9, 12:00 am",0,0,0,13.1,0,13.1,0,0,0
"Jan 9, 01:00 am",0,0,0,12.4,0,12.4,0,0,0
"Jan 9, 02:00 am",0,0,0,11.6,0,11.6,0,0,0
"Jan 9, 03:00 am",0,0,0,10.7,0,10.7,0,0,0
"Jan 9, 04:00 am",0,0,0,9.8,0,9.8,0,0,0
"Jan 9, 05:00 am",0,0,0,8.9,0,8.9,0,0,0
"Jan 9, 06:00 am",0,0,0,10,0,10,0,0,0
"Jan 9, 07:00 am",380.489,380489,395616,24.1195,450.048,13.2,714.1,35.9,189.3
"Jan 9, 08:00 am",695.553,695553,723393,48.9124,910.732,16.5,910.4,47.4,436.7
"Jan 9, 09:00 am",792.319,792319,824907,49.2292,1056.13,19.3,997.8,54.1,675.5
"Jan 9, 10:00 am",828.573,828573,863044,48.4578,1113.58,21.8,1044.7,58.7,880.9
"Jan 9, 11:00 am",833.333,833333,875991,48.4599,1137.85,23.8,1070.7,61.9,1035
"Jan 9, 12:00 pm",553.58,553580,575176,41.8099,741.366,26,341.6,395.7,730.5
"Jan 9, 01:00 pm",721.019,721019,750070,44.4302,975.148,26.9,515,459.6,972.5
"Jan 9, 02:00 pm",325.188,325188,338508,34.9007,427.327,27.6,140.7,287.1,421.5
"Jan 9, 03:00 pm",710.682,710682,739238,41.5675,931.822,26.7,479.5,435.3,848.2
"Jan 9, 04:00 pm",500.145,500145,519612,36.6401,645.018,25.6,288.4,347.8,555.3
"Jan 9, 05:00 pm",320.47,320470,333642,31.3315,403.045,24.3,143.5,255.6,333.1
