"Time stamp","System power generated | (kW)","AC inverter output power | (W)","DC inverter input power | (W)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Weather file ambient temperature | (C)","Weather file beam irradiance | (W/m2)","Weather file diffuse irradiance | (W/m2)","Weather file global horizontal irradiance | (W/m2)"
"Jun 24, 01:00 pm",526.03,526030,546513,39.5574,674.328,25.2,962.7,47.9,668.9
"Jun 24, 02:00 pm",539.639,539640,560669,40.5532,692.235,26.2,948.6,46.9,616.7
"Jun 24, 03:00 pm",561.794,561794,583728,40.3006,714.483,25.8,912.3,44.4,503.7
"Jun 24, 04:00 pm",544.459,544459,565683,38.6462,680.258,24.8,834.8,39.7,340.3
"Jun 24, 05:00 pm",283.761,283761,295810,30.6456,346.813,23.4,643.2,30.1,145.9
"Jun 24, 06:00 pm",0,0,0,20.4,0,20.4,0,0,0
"Jun 24, 07:00 pm",0,0,0,18.1,0,18.1,0,0,0
"Jun 24, 08:00 pm",0,0,0,16.2,0,16.2,0,0,0
"Jun 24, 09:00 pm",0,0,0,14.7,0,14.7,0,0,0
"Jun 24, 10:00 pm",0,0,0,13.9,0,13.9,0,0,0
"Jun 24, 11:00 pm",0,0,0,13.8,0,13.8,0,0,0
"Jun 25, 12:00 am",0,0,0,12.6,0,12.6,0,0,0
"Jun 25, 01:00 am",0,0,0,12.2,0,12.2,0,0,0
"Jun 25, 02:00 am",0,0,0,11.7,0,11.7,0,0,0
"Jun 25, 03:00 am",0,0,0,11.3,0,11.3,0,0,0
"Jun 25, 04:00 am",0,0,0,10.7,0,10.7,0,0,0
"Jun 25, 05:00 am",0,0,0,10.1,0,10.1,0,0,0
"Jun 25, 06:00 am",0,0,0,8.5,0,8.5,0,0,0
"Jun 25, 07:00 am",0,0,0,9.7,0,9.7,0,0,0
"Jun 25, 08:00 am",136.824,136824,144922,15.2974,169.578,11.6,450.5,21.8,65.6
"Jun 25, 09:00 am",509.218,509218,529037,30.886,615.518,14.5,770.5,37,259.8
"Jun 25, 10:00 am",565.42,565420,587505,37.2322,707.411,17.8,879.3,43.2,438.2
"Jun 25, 11:00 am",553.235,553235,574817,36.7328,697.397,21.4,928.7,46.6,572.9
"Jun 25, 12:00 pm",531.66,531660,552368,37.451,675.43,22.2,950.4,48.3,650.5
"Jun 25, 01:00 pm",524.914,524914,545353,38.3458,669.743,23.7,954.4,48.4,664.4
"Jun 25, 02:00 pm",538.663,538663,559653,39.3195,687.682,24.7,941.1,47.2,613.1
"Jun 25, 03:00 pm",560.234,560234,582104,39.3182,709.805,24.2,905.4,44.6,501.1
"Jun 25, 04:00 pm",543.073,543073,564242,37.6714,675.996,23.2,828.6,39.8,338.9
"Jun 25, 05:00 pm",284.988,284988,297073,29.3211,346.484,21.7,639.3,30.1,145.8
"Jun 25, 06:00 pm",0,0,0,18.9,0,18.9,0,0,0
"Jun 25, 07:00 pm",0,0,0,16.3,0,16.3,0,0,0
"Jun 25, 08:00 pm",0,0,0,14.2,0,14.2,0,0,0
"Jun 25, 09:00 pm",0,0,0,12.7,0,12.7,0,0,0
"Jun 25, 10:00 pm",0,0,0,11.8,0,11.8,0,0,0
"Jun 25, 11:00 pm",0,0,0,11.6,0,11.6,0,0,0
"Jun 26, 12:00 am",0,0,0,10.9,0,10.9,0,0,0
"Jun 26, 01:00 am",0,0,0,10.6,0,10.6,0,0,0
"Jun 26, 02:00 am",0,0,0,10.3,0,10.3,0,0,0
"Jun 26, 03:00 am",0,0,0,9.6,0,9.6,0,0,0
"Jun 26, 04:00 am",0,0,0,8.8,0,8.8,0,0,0
"Jun 26, 05:00 am",0,0,0,8,0,8,0,0,0
"Jun 26, 06:00 am",0,0,0,6.4,0,6.4,0,0,0
"Jun 26, 07:00 am",0,0,0,7.8,0,7.8,0,0,0
"Jun 26, 08:00 am",140.277,140277,148458,12.9654,172.302,9.9,467.1,21,66.4
"Jun 26, 09:00 am",520.949,520949,541231,27.5415,621.835,12.9,783,35.4,261.6
"Jun 26, 10:00 am",559.664,559664,581511,41.8269,712.882,16.4,889.5,41.1,440.6
"Jun 26, 11:00 am",551.736,551736,573257,39.0428,701.779,20.1,938.4,44,575.9
"Jun 26, 12:00 pm",534.578,534578,555403,37.4972,679.278,22,960.3,45.3,654.1
"Jun 26, 01:00 pm",527.107,527107,547633,38.3131,672.482,23.6,962.6,45.5,667.4
"Jun 26, 02:00 pm",539.783,539783,560818,39.6245,689.971,24.7,948.3,44.6,615.4
"Jun 26, 03:00 pm",560.886,560886,582783,39.8278,712.1,24.4,912,42.3,503
"Jun 26, 04:00 pm",544.021,544021,565228,38.5278,679.479,23.6,836,38,340.5
"Jun 26, 05:00 pm",287.873,287873,300045,30.3574,351.24,22.3,650.3,29,147.4
"Jun 26, 06:00 pm",0,0,0,19.5,0,19.5,0,0,0
"Jun 26, 07:00 pm",0,0,0,17.4,0,17.4,0,0,0
"Jun 26, 08:00 pm",0,0,0,15.7,0,15.7,0,0,0
"Jun 26, 09:00 pm",0,0,0,14.8,0,14.8,0,0,0
"Jun 26, 10:00 pm",0,0,0,14.6,0,14.6,0,0,0
"Jun 26, 11:00 pm",0,0,0,15,0,15,0,0,0
"Jun 27, 12:00 am",0,0,0,14.4,0,14.4,0,0,0
"Jun 27, 01:00 am",0,0,0,14.4,0,14.4,0,0,0
"Jun 27, 02:00 am",0,0,0,14.3,0,14.3,0,0,0
"Jun 27, 03:00 am",0,0,0,13.9,0,13.9,0,0,0
"Jun 27, 04:00 am",0,0,0,13.5,0,13.5,0,0,0
"Jun 27, 05:00 am",0,0,0,13,0,13,0,0,0
"Jun 27, 06:00 am",0,0,0,9.7,0,9.7,0,0,0
"Jun 27, 07:00 am",0,0,0,11,0,11,0,0,0
"Jun 27, 08:00 am",132.603,132603,140601,16.4839,165.429,13.1,443,20.6,63.5
"Jun 27, 09:00 am",91.8713,91871.3,98934.4,17.6719,113.737,15.8,7.8,121.5,123.8
"Jun 27, 10:00 am",553.084,553084,574661,37.7001,693.196,18.9,863.6,40.3,428.2
"Jun 27, 11:00 am",537.129,537129,558057,38.9662,682.978,22.4,911.7,43.2,560.2
"Jun 27, 12:00 pm",510.26,510260,530120,42.3413,660.792,24.9,932.4,44.6,636.1
"Jun 27, 01:00 pm",503.193,503193,522778,43.471,655.138,26.5,936,45,650.1
"Jun 27, 02:00 pm",515.494,515494,535560,44.7263,672.352,27.6,922.5,44.1,600.2
"Jun 27, 03:00 pm",537.031,537031,557955,44.2662,693.87,27,887,42,490.8
"Jun 27, 04:00 pm",521.414,521414,541714,42.3743,661.161,25.8,811.4,37.8,332.2
"Jun 27, 05:00 pm",276.774,276774,288616,33.285,341.557,24.2,626.1,28.9,143.6
"Jun 27, 06:00 pm",0,0,0,22.9,0,22.9,0,0,0
"Jun 27, 07:00 pm",0,0,0,20.3,0,20.3,0,0,0
"Jun 27, 08:00 pm",0,0,0,18.2,0,18.2,0,0,0
"Jun 27, 09:00 pm",0,0,0,16.5,0,16.5,0,0,0
"Jun 27, 10:00 pm",0,0,0,15.4,0,15.4,0,0,0
"Jun 27, 11:00 pm",0,0,0,14.9,0,14.9,0,0,0
"Jun 28, 12:00 am",0,0,0,14.1,0,14.1,0,0,0
"Jun 28, 01:00 am",0,0,0,13.6,0,13.6,0,0,0
"Jun 28, 02:00 am",0,0,0,13,0,13,0,0,0
"Jun 28, 03:00 am",0,0,0,12.6,0,12.6,0,0,0
"Jun 28, 04:00 am",0,0,0,12.2,0,12.2,0,0,0
"Jun 28, 05:00 am",0,0,0,11.7,0,11.7,0,0,0
"Jun 28, 06:00 am",0,0,0,7.3,0,7.3,0,0,0
"Jun 28, 07:00 am",0,0,0,8.7,0,8.7,0,0,0
"Jun 28, 08:00 am",131.852,131852,139832,13.7172,163.041,10.9,432.7,20.9,62.6
"Jun 28, 09:00 am",500.536,500536,520017,28.1159,598.743,14.1,751.5,35.6,252.4
"Jun 28, 10:00 am",547.517,547517,568866,40.1017,692.668,17.7,860,41.6,427.8
"Jun 28, 11:00 am",538.138,538138,559107,38.9059,684.116,21.7,909.8,44.8,560.9
"Jun 28, 12:00 pm",519.556,519556,539782,38.5876,663.019,23.2,931.9,46.4,638.1
"Jun 28, 01:00 pm",511.892,511892,531816,40.095,657.679,24.9,936.4,46.7,652.7
"Jun 28, 02:00 pm",523.973,523973,544375,41.6546,675.185,26.1,923.5,45.7,603.2
"Jun 28, 03:00 pm",544.122,544122,565333,41.9398,696.646,25.7,888.2,43.4,493.8
"Jun 28, 04:00 pm",527.47,527470,548011,40.5406,664.08,24.8,812.8,38.9,334.8
"Jun 28, 05:00 pm",281.207,281207,293180,32.069,345.271,23.5,627.7,29.7,145.3
"Jun 28, 06:00 pm",0,0,0,20.6,0,20.6,0,0,0
"Jun 28, 07:00 pm",0,0,0,18.1,0,18.1,0,0,0
"Jun 28, 08:00 pm",0,0,0,16.2,0,16.2,0,0,0
"Jun 28, 09:00 pm",0,0,0,14.8,0,14.8,0,0,0
"Jun 28, 10:00 pm",0,0,0,14,0,14,0,0,0
"Jun 28, 11:00 pm",0,0,0,13.9,0,13.9,0,0,0
"Jun 29, 12:00 am",0,0,0,13.8,0,13.8,0,0,0
"Jun 29, 01:00 am",0,0,0,13.5,0,13.5,0,0,0
"Jun 29, 02:00 am",0,0,0,13.1,0,13.1,0,0,0
"Jun 29, 03:00 am",0,0,0,13,0,13,0,0,0
"Jun 29, 04:00 am",0,0,0,12.8,0,12.8,0,0,0
"Jun 29, 05:00 am",0,0,0,12.6,0,12.6,0,0,0
"Jun 29, 06:00 am",0,0,0,11.4,0,11.4,0,0,0
"Jun 29, 07:00 am",0,0,0,13,0,13,0,0,0
"Jun 29, 08:00 am",131.979,131979,139963,18.4214,165.999,15.4,444.5,21.1,63.9
"Jun 29, 09:00 am",501.252,501252,520761,32.1817,608.865,18.3,765,35.9,256.7
"Jun 29, 10:00 am",557.384,557384,579137,39.7426,704.192,21.6,874,42,434.7
"Jun 29, 11:00 am",542.782,542782,563939,40.8509,695.323,25.2,924.2,45.2,569.8
"Jun 29, 12:00 pm",521.723,521723,542036,41.7121,674.02,26.1,947,46.7,648.4
"Jun 29, 01:00 pm",514.435,514435,534459,42.8109,668.095,27.7,950.8,47.1,663.2
"Jun 29, 02:00 pm",527.204,527204,547734,43.9805,685.688,28.8,937.5,46.2,613.1
"Jun 29, 03:00 pm",548.861,548860,570264,43.713,707.737,28.3,902.2,43.9,502.3
"Jun 29, 04:00 pm",533.437,533437,554217,42.0954,675.778,27.3,826.7,39.5,341.4
"Jun 29, 05:00 pm",286.903,286903,299045,33.6769,354.256,25.8,641.5,30.2,149.2
"Jun 29, 06:00 pm",0,0,0,23.7,0,23.7,0,0,0
"Jun 29, 07:00 pm",0,0,0,21.4,0,21.4,0,0,0
"Jun 29, 08:00 pm",0,0,0,19.6,0,19.6,0,0,0
"Jun 29, 09:00 pm",0,0,0,18.3,0,18.3,0,0,0
"Jun 29, 10:00 pm",0,0,0,17.6,0,17.6,0,0,0
"Jun 29, 11:00 pm",0,0,0,17.6,0,17.6,0,0,0
"Jun 30, 12:00 am",0,0,0,18.1,0,18.1,0,0,0
"Jun 30, 01:00 am",0,0,0,18.2,0,18.2,0,0,0
"Jun 30, 02:00 am",0,0,0,18.2,0,18.2,0,0,0
"Jun 30, 03:00 am",0,0,0,17.9,0,17.9,0,0,0
"Jun 30, 04:00 am",0,0,0,17.6,0,17.6,0,0,0
"Jun 30, 05:00 am",0,0,0,17.2,0,17.2,0,0,0
"Jun 30, 06:00 am",0,0,0,15.3,0,15.3,0,0,0
"Jun 30, 07:00 am",0,0,0,15.8,0,15.8,0,0,0
"Jun 30, 08:00 am",130.866,130866,138822,20.2905,165.839,17.2,441.8,21.6,64.1
"Jun 30, 09:00 am",499.376,499376,518813,34.2065,611.293,19,765.5,37.3,258.2
"Jun 30, 10:00 am",543.561,543561,564749,47.4922,708.189,21.3,875.5,43.8,437.5
"Jun 30, 11:00 am",545.954,545954,567239,41.0578,699.986,23.9,926.2,47.4,573.6
"Jun 30, 12:00 pm",528.863,528863,549459,39.9887,678.671,24.7,948.8,49.2,652.7
"Jun 30, 01:00 pm",523.377,523377,543755,39.9167,672.053,25.1,952,49.5,667.2
"Jun 30, 02:00 pm",539.111,539111,560119,39.5387,689.067,24.5,938.1,48.4,616.4
"Jun 30, 03:00 pm",560.968,560968,582868,38.8244,709.657,23.7,901.4,45.7,504.8
"Jun 30, 04:00 pm",545.049,545049,566297,36.8716,676.605,22.5,824.8,40.8,343
"Jun 30, 05:00 pm",294.056,294056,306414,28.4005,355.716,20.8,637.8,31,150.1
"Jun 30, 06:00 pm",0,0,0,17,0,17,0,0,0
"Jun 30, 07:00 pm",0,0,0,14.3,0,14.3,0,0,0
"Jun 30, 08:00 pm",0,0,0,12,0,12,0,0,0
"Jun 30, 09:00 pm",0,0,0,10.2,0,10.2,0,0,0
"Jun 30, 10:00 pm",0,0,0,9,0,9,0,0,0
"Jun 30, 11:00 pm",0,0,0,9.4,0,9.4,0,0,0
"Jul 1, 12:00 am",0,0,0,10.2,0,10.2,0,0,0
"Jul 1, 01:00 am",0,0,0,10,0,10,0,0,0
"Jul 1, 02:00 am",0,0,0,9.7,0,9.7,0,0,0
"Jul 1, 03:00 am",0,0,0,9.5,0,9.5,0,0,0
"Jul 1, 04:00 am",0,0,0,9.2,0,9.2,0,0,0
"Jul 1, 05:00 am",0,0,0,8.8,0,8.8,0,0,0
"Jul 1, 06:00 am",0,0,0,10.4,0,10.4,0,0,0
"Jul 1, 07:00 am",0,0,0,11.8,0,11.8,0,0,0
"Jul 1, 08:00 am",139.154,139154,147308,16.9994,173.42,13.9,501.8,20,68.2
"Jul 1, 09:00 am",526.796,526796,547310,31.7962,638.972,16.8,811.3,33.2,267.4
"Jul 1, 10:00 am",563.95,563950,585974,45.9958,730.416,20.2,913.1,38.3,449.2
"Jul 1, 11:00 am",554.682,554682,576324,43.1575,717.156,23.9,959.7,40.9,586.7
"Jul 1, 12:00 pm",536.406,536406,557306,41.7614,693.219,25.5,980.4,42.2,666.6
"Jul 1, 01:00 pm",529.526,529526,550149,42.3704,686.605,27.1,983.8,42.5,681.8
"Jul 1, 02:00 pm",543.247,543247,564422,43.4289,705.153,28.2,971.3,41.8,631.2
"Jul 1, 03:00 pm",567.587,567587,589762,43.1047,730.321,27.7,938.2,39.9,519
"Jul 1, 04:00 pm",557.169,557168,578912,41.3433,703.928,26.8,868.2,36.2,355.5
"Jul 1, 05:00 pm",309.338,309338,322163,33.0989,380.59,25.3,695.3,28.2,159
"Jul 1, 06:00 pm",0,0,0,19.5,0,19.5,0,0,0
"Jul 1, 07:00 pm",0,0,0,16.9,0,16.9,0,0,0
"Jul 1, 08:00 pm",0,0,0,14.8,0,14.8,0,0,0
"Jul 1, 09:00 pm",0,0,0,13.8,0,13.8,0,0,0
"Jul 1, 10:00 pm",0,0,0,13.4,0,13.4,0,0,0
"Jul 1, 11:00 pm",0,0,0,13.7,0,13.7,0,0,0
"Jul 2, 12:00 am",0,0,0,14.8,0,14.8,0,0,0
"Jul 2, 01:00 am",0,0,0,14.9,0,14.9,0,0,0
"Jul 2, 02:00 am",0,0,0,15,0,15,0,0,0
"Jul 2, 03:00 am",0,0,0,14.9,0,14.9,0,0,0
"Jul 2, 04:00 am",0,0,0,14.7,0,14.7,0,0,0
"Jul 2, 05:00 am",0,0,0,14.4,0,14.4,0,0,0
"Jul 2, 06:00 am",0,0,0,13.9,0,13.9,0,0,0
"Jul 2, 07:00 am",0,0,0,14.6,0,14.6,0,0,0
"Jul 2, 08:00 am",136.482,136482,144573,19.3774,171.707,16.1,493,20.2,67.6
"Jul 2, 09:00 am",519.993,519993,540237,33.8598,635.695,18.2,805,33.8,266.3
"Jul 2, 10:00 am",560.153,560153,582020,47.0294,728.533,20.7,908.1,39.1,447.9
"Jul 2, 11:00 am",556.752,556752,578478,41.7311,715.822,23.5,954.9,41.8,585.4
"Jul 2, 12:00 pm",538.383,538383,559361,40.4353,692.198,24,975.7,43.2,665.4
"Jul 2, 01:00 pm",533.073,533073,553838,40.166,685.287,24.6,978.8,43.5,680.6
"Jul 2, 02:00 pm",548.919,548919,570325,40.0615,703.189,24.7,965.8,42.7,630
"Jul 2, 03:00 pm",573.856,573856,596292,39.3212,727.57,23.8,932.3,40.7,518
"Jul 2, 04:00 pm",563.186,563186,585179,37.2755,700.394,22.5,861.3,36.9,354.8
"Jul 2, 05:00 pm",314.134,314134,327108,28.5322,379.714,20.6,687,28.7,158.9
"Jul 2, 06:00 pm",0,0,0,16.2,0,16.2,0,0,0
"Jul 2, 07:00 pm",0,0,0,13.2,0,13.2,0,0,0
"Jul 2, 08:00 pm",0,0,0,10.6,0,10.6,0,0,0
"Jul 2, 09:00 pm",0,0,0,9,0,9,0,0,0
"Jul 2, 10:00 pm",0,0,0,7.9,0,7.9,0,0,0
"Jul 2, 11:00 pm",0,0,0,8.2,0,8.2,0,0,0
"Jul 3, 12:00 am",0,0,0,7.8,0,7.8,0,0,0
"Jul 3, 01:00 am",0,0,0,7.9,0,7.9,0,0,0
"Jul 3, 02:00 am",0,0,0,7.9,0,7.9,0,0,0
"Jul 3, 03:00 am",0,0,0,7.9,0,7.9,0,0,0
"Jul 3, 04:00 am",0,0,0,7.8,0,7.8,0,0,0
"Jul 3, 05:00 am",0,0,0,7.7,0,7.7,0,0,0
"Jul 3, 06:00 am",0,0,0,6.6,0,6.6,0,0,0
"Jul 3, 07:00 am",0,0,0,8,0,8,0,0,0
"Jul 3, 08:00 am",136.985,136985,145088,13.3699,168.669,10.2,477.4,20.5,66.4
"Jul 3, 09:00 am",522.992,522992,543354,28.8372,627.314,13.3,791.6,34.3,263.2
"Jul 3, 10:00 am",558.536,558536,580336,45.1271,720.931,17,895.7,39.7,443.5
"Jul 3, 11:00 am",557.038,557038,578776,39.3648,709.609,21,943.2,42.6,580.2
"Jul 3, 12:00 pm",539.261,539261,560275,37.8687,686.463,22.2,964.1,44,659.7
"Jul 3, 01:00 pm",531.078,531078,551763,38.8674,679.317,24,966.9,44.3,674.9
"Jul 3, 02:00 pm",543.506,543506,564692,40.2451,696.811,25.3,953.7,43.6,624.7
"Jul 3, 03:00 pm",566.885,566885,589031,39.7144,719.896,24.5,919.4,41.6,513.5
"Jul 3, 04:00 pm",555.112,555112,576772,37.6702,691.457,23.1,847,37.7,351.5
"Jul 3, 05:00 pm",309.409,309409,322237,29.34,375.097,21.3,670.6,29.3,157.4
"Jul 3, 06:00 pm",0,0,0,18,0,18,0,0,0
"Jul 3, 07:00 pm",0,0,0,15.3,0,15.3,0,0,0
"Jul 3, 08:00 pm",0,0,0,13,0,13,0,0,0
"Jul 3, 09:00 pm",0,0,0,11.4,0,11.4,0,0,0
"Jul 3, 10:00 pm",0,0,0,10.5,0,10.5,0,0,0
"Jul 3, 11:00 pm",0,0,0,10.2,0,10.2,0,0,0
"Jul 4, 12:00 am",0,0,0,10.1,0,10.1,0,0,0
"Jul 4, 01:00 am",0,0,0,9.8,0,9.8,0,0,0
"Jul 4, 02:00 am",0,0,0,9.4,0,9.4,0,0,0
"Jul 4, 03:00 am",0,0,0,9.3,0,9.3,0,0,0
"Jul 4, 04:00 am",0,0,0,9.2,0,9.2,0,0,0
"Jul 4, 05:00 am",0,0,0,8.9,0,8.9,0,0,0
"Jul 4, 06:00 am",0,0,0,6.2,0,6.2,0,0,0
"Jul 4, 07:00 am",0,0,0,7.7,0,7.7,0,0,0
"Jul 4, 08:00 am",136.652,136652,144746,12.1398,167.757,9.9,451.4,20.9,64.4
"Jul 4, 09:00 am",513.976,513976,533983,27.5977,613.644,12.4,769.4,35.5,258.3
"Jul 4, 10:00 am",563.833,563833,585852,38.5637,709.211,15.5,875.8,41.5,436.9
"Jul 4, 11:00 am",557.326,557326,579077,35.6924,699.978,18.8,924.5,44.7,572.5
"Jul 4, 12:00 pm",538.559,538559,559544,35.0338,678.15,20.5,946,46.4,651.5
"Jul 4, 01:00 pm",531.204,531204,551894,35.7316,671.326,21.8,949.5,46.6,666.9
"Jul 4, 02:00 pm",544.709,544709,565944,36.4109,688.082,22.5,936.3,45.6,617.5
"Jul 4, 03:00 pm",566.646,566646,588782,36.0927,709.62,21.9,901.6,43.3,507.4
"Jul 4, 04:00 pm",552.285,552285,573829,34.6031,679.904,20.8,828.5,38.9,347.1
"Jul 4, 05:00 pm",307.21,307210,319970,26.9683,369.067,19.2,651,30,155.3
"Jul 4, 06:00 pm",0,0,0,17.6,0,17.6,0,0,0
"Jul 4, 07:00 pm",0,0,0,15.3,0,15.3,0,0,0
"Jul 4, 08:00 pm",0,0,0,13.4,0,13.4,0,0,0
"Jul 4, 09:00 pm",0,0,0,11.8,0,11.8,0,0,0
"Jul 4, 10:00 pm",0,0,0,10.8,0,10.8,0,0,0
"Jul 4, 11:00 pm",0,0,0,10.5,0,10.5,0,0,0
"Jul 5, 12:00 am",0,0,0,11.3,0,11.3,0,0,0
"Jul 5, 01:00 am",0,0,0,10.8,0,10.8,0,0,0
"Jul 5, 02:00 am",0,0,0,10.3,0,10.3,0,0,0
"Jul 5, 03:00 am",0,0,0,9.6,0,9.6,0,0,0
"Jul 5, 04:00 am",0,0,0,8.9,0,8.9,0,0,0
"Jul 5, 05:00 am",0,0,0,8.2,0,8.2,0,0,0
"Jul 5, 06:00 am",0,0,0,3.5,0,3.5,0,0,0
"Jul 5, 07:00 am",0,0,0,4.8,0,4.8,0,0,0
"Jul 5, 08:00 am",136.666,136666,144761,9.46578,166.129,6.9,444.6,20.7,63.6
"Jul 5, 09:00 am",505.411,505411,525082,29.5259,607.799,10,761.1,35,255.7
"Jul 5, 10:00 am",567.891,567891,590078,34.4923,703.214,13.7,867.9,40.6,433.1
"Jul 5, 11:00 am",558.115,558115,579898,33.3175,694.665,17.7,917,43.6,567.9
"Jul 5, 12:00 pm",539.89,539890,560930,32.4159,673.112,17.7,938.8,45,646.6
"Jul 5, 01:00 pm",530.802,530802,551476,34.2086,666.966,19.7,943.3,45.2,662.7
"Jul 5, 02:00 pm",542.198,542198,563331,36.2156,684.462,21.1,931.6,44.3,614.5
"Jul 5, 03:00 pm",560.906,560906,582804,37.6629,706.784,21.9,898.5,42.1,505.9
"Jul 5, 04:00 pm",546.346,546346,567647,36.9046,678.644,21.4,827.4,37.9,347.1
"Jul 5, 05:00 pm",307.365,307365,320130,29.2208,372.277,20.3,654.5,29.5,156.4
"Jul 5, 06:00 pm",0,0,0,17.1,0,17.1,0,0,0
"Jul 5, 07:00 pm",0,0,0,14.9,0,14.9,0,0,0
"Jul 5, 08:00 pm",0,0,0,13.1,0,13.1,0,0,0
"Jul 5, 09:00 pm",0,0,0,11.8,0,11.8,0,0,0
"Jul 5, 10:00 pm",0,0,0,11.2,0,11.2,0,0,0
"Jul 5, 11:00 pm",0,0,0,11.3,0,11.3,0,0,0
"Jul 6, 12:00 am",0,0,0,12.3,0,12.3,0,0,0
"Jul 6, 01:00 am",0,0,0,12,0,12,0,0,0
"Jul 6, 02:00 am",0,0,0,11.6,0,11.6,0,0,0
"Jul 6, 03:00 am",0,0,0,11.4,0,11.4,0,0,0
"Jul 6, 04:00 am",0,0,0,11.1,0,11.1,0,0,0
"Jul 6, 05:00 am",0,0,0,10.7,0,10.7,0,0,0
"Jul 6, 06:00 am",0,0,0,9.3,0,9.3,0,0,0
"Jul 6, 07:00 am",0,0,0,10.9,0,10.9,0,0,0
"Jul 6, 08:00 am",134.667,134667,142714,15.391,166.897,13.1,467.1,20.5,65.7
"Jul 6, 09:00 am",513.955,513955,533961,31.6755,623.124,16.1,782.7,34,261.4
"Jul 6, 10:00 am",563.511,563511,585517,41.799,717.937,19.6,888.2,39.3,441.6
"Jul 6, 11:00 am",553.615,553615,575213,40.398,708.25,23.4,937.1,42,578.6
"Jul 6, 12:00 pm",534.531,534531,555354,39.9834,686.236,24.8,959.4,43.2,659.1
"Jul 6, 01:00 pm",526.244,526244,546736,41.211,679.524,26.5,963.3,43.4,675.2
"Jul 6, 02:00 pm",538.446,538446,559427,42.6542,697.121,27.6,951.3,42.6,626.3
"Jul 6, 03:00 pm",561.507,561507,583430,42.2526,720.468,26.8,918.4,40.6,516.2
"Jul 6, 04:00 pm",551.409,551410,572917,40.3715,694.338,25.4,848.8,36.8,355.3
"Jul 6, 05:00 pm",315.327,315327,328338,32.1113,385.914,23.6,679.4,28.9,161.7
"Jul 6, 06:00 pm",0,0,0,20.3,0,20.3,0,0,0
"Jul 6, 07:00 pm",0,0,0,17.5,0,17.5,0,0,0
"Jul 6, 08:00 pm",0,0,0,15.3,0,15.3,0,0,0
"Jul 6, 09:00 pm",0,0,0,13.6,0,13.6,0,0,0
"Jul 6, 10:00 pm",0,0,0,12.6,0,12.6,0,0,0
"Jul 6, 11:00 pm",0,0,0,12.2,0,12.2,0,0,0
"Jul 7, 12:00 am",0,0,0,12.1,0,12.1,0,0,0
"Jul 7, 01:00 am",0,0,0,11.7,0,11.7,0,0,0
"Jul 7, 02:00 am",0,0,0,11.3,0,11.3,0,0,0
"Jul 7, 03:00 am",0,0,0,10.6,0,10.6,0,0,0
"Jul 7, 04:00 am",0,0,0,9.9,0,9.9,0,0,0
"Jul 7, 05:00 am",0,0,0,9.1,0,9.1,0,0,0
"Jul 7, 06:00 am",0,0,0,6.8,0,6.8,0,0,0
"Jul 7, 07:00 am",0,0,0,8,0,8,0,0,0
"Jul 7, 08:00 am",139.04,139040,147192,12.2129,169.977,9.9,481.1,20.1,66.9
"Jul 7, 09:00 am",525.016,525016,545459,28.9713,630.086,12.9,791.9,33.3,263.9
"Jul 7, 10:00 am",569.602,569602,591860,40.8759,723.133,16.3,895.2,38.3,444.4
"Jul 7, 11:00 am",563.074,563074,585061,37.3669,711.969,20,942.4,40.8,581.6
"Jul 7, 12:00 pm",543.748,543748,564943,36.6831,689.239,22.5,963.7,42,662
"Jul 7, 01:00 pm",535.395,535395,556253,37.5914,681.711,24.1,966.3,42.3,677.6
"Jul 7, 02:00 pm",548.101,548101,569473,38.7013,698.788,25.2,953.3,41.8,628.1
"Jul 7, 03:00 pm",568.185,568185,590385,39.506,721.324,25.7,919.2,40,517.6
"Jul 7, 04:00 pm",555.653,555653,577334,38.5887,694.912,25.1,848.9,36.4,356.4
"Jul 7, 05:00 pm",318.126,318126,331225,31.614,388.468,23.9,679.7,28.8,162.7
"Jul 7, 06:00 pm",0,0,0,20,0,20,0,0,0
"Jul 7, 07:00 pm",0,0,0,17.8,0,17.8,0,0,0
"Jul 7, 08:00 pm",0,0,0,16.1,0,16.1,0,0,0
"Jul 7, 09:00 pm",0,0,0,14.9,0,14.9,0,0,0
"Jul 7, 10:00 pm",0,0,0,14.5,0,14.5,0,0,0
"Jul 7, 11:00 pm",0,0,0,14.6,0,14.6,0,0,0
"Jul 8, 12:00 am",0,0,0,15.5,0,15.5,0,0,0
"Jul 8, 01:00 am",0,0,0,15.8,0,15.8,0,0,0
"Jul 8, 02:00 am",0,0,0,16,0,16,0,0,0
"Jul 8, 03:00 am",0,0,0,15.5,0,15.5,0,0,0
"Jul 8, 04:00 am",0,0,0,15,0,15,0,0,0
"Jul 8, 05:00 am",0,0,0,14.5,0,14.5,0,0,0
"Jul 8, 06:00 am",0,0,0,10.8,0,10.8,0,0,0
"Jul 8, 07:00 am",0,0,0,12,0,12,0,0,0
"Jul 8, 08:00 am",135.352,135352,143415,16.4336,168.302,13.9,448.7,20.6,64.5
"Jul 8, 09:00 am",497.817,497817,517193,34.907,611.065,16.8,761.5,34.6,256.9
"Jul 8, 10:00 am",172.602,172602,181583,27.8944,216.914,20.1,64.3,188.3,217.5
"Jul 8, 11:00 am",548.082,548082,569454,38.5935,696.351,23.8,914.2,43.4,569
