,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud,poa,flow,trans,pump,Qaux,Qproc,Qdel,Qloss,Qtrans,Qusef,Tcold,Thot,Tmains,Ttank,Tdel,Vcold,Vhot,Qcol,EffCol,Qsto,Qpeak,Qgross
2018-11-17 11:00:00,813.31,70.67,733.9,8.74,842.14,75.08,767.06,79.69,16.33,4.45,0.0,1.0,842.1940808073416,376144.4263120204,690.606482851788,0.052941177500199145,0.0,0.0,690.6375884829464,13.17289253043622,1243.0917281769043,653.9279852753992,90.1010960739782,91.58057108351551,90.0,91.09234433036819,91.58057108351551,180.0,0.0,223.31853338404846,0.7764575887882431,653.9279852753992,0.0,588.5351867478594
2018-11-17 12:00:00,1168.86,1122.28,33.95,12.64,1218.08,1182.6,35.48,1191.76,17.55,6.08,0.0,0.0,1218.1299313697793,376144.4263120204,1209.3233383475833,0.052941177500199145,0.0,0.0,1283.021745477731,13.31330445864134,2176.7821124172474,1454.7877863854785,89.64490758200303,92.9362825079912,90.0,91.8501287824151,92.9362825079912,180.0,0.0,496.8147596616581,1.1942796486000298,1454.7877863854785,0.0,1309.3090077469308
2018-11-17 13:00:00,1156.69,1110.26,33.91,12.52,1206.98,1171.54,35.44,1190.58,18.52,7.32,0.0,0.0,1206.9740459561297,376144.4263120204,1196.215930906248,0.052941177500199145,0.0,0.0,1380.2968308015857,13.356299641279117,2153.188777902221,1442.1725435024982,89.89606950145509,93.158903155308,90.0,92.08216804953653,93.158903155308,180.0,0.0,492.506613195464,1.1948662428445602,1442.1725435024982,0.0,1297.9552891522485
2018-11-17 14:00:00,1061.81,1016.63,33.56,11.62,1120.22,1085.14,35.08,1182.21,19.32,8.44,0.0,0.0,1120.2758797410618,376144.4263120204,1093.9770604308378,0.052941177500199145,0.0,0.0,1292.833671812309,13.340492331097929,1969.1588023055278,1288.3358537795502,90.04395090754717,92.95873776860347,90.0,91.99685810445489,92.95873776860347,180.0,0.0,439.9708834161092,1.150016595981102,1288.3358537795502,0.0,1159.5022684015953
2018-11-17 15:00:00,892.05,849.24,32.8,10.01,964.6,930.32,34.28,1165.19,18.9,8.78,0.0,0.0,964.7790926302312,376144.4263120204,911.098043511868,0.052941177500199145,0.0,0.0,1059.031240709482,13.280584675247308,1639.9765562160655,1004.7069422018969,90.15057248537626,92.42366500682621,90.0,91.67354447474773,92.42366500682621,180.0,0.0,343.1106878210847,1.04138548386534,1004.7069422018969,0.0,904.2362479817073
2018-11-17 16:00:00,660.74,621.47,31.48,7.8,751.42,718.52,32.9,1133.69,18.31,8.45,0.0,0.0,751.7486259555932,376144.4263120204,662.3164566301174,0.052941177500199145,0.0,0.0,711.839431558863,13.18670376376626,1192.1696785592299,619.0829471999009,90.22845285757766,91.6290929430868,90.0,91.1668817148688,91.6290929430868,180.0,0.0,211.41883957379608,0.8235238826182716,619.0829471999009,0.0,557.1746524799108
2018-11-17 17:00:00,388.55,354.35,29.05,5.16,497.18,466.82,30.36,1072.58,17.33,7.47,0.0,0.0,497.8010802135031,376144.4263120204,24.429123273815065,0.0,0.0,0.0,24.407015959346918,11.682755389436071,43.97242398144508,0.0,90.05585711566175,91.1668817148688,90.0,90.05585711566175,90.05585711566175,180.0,0.0,167.70299089141847,0.0,0.0,0.0,0.0
2018-11-17 18:00:00,108.75,82.74,23.69,2.32,223.34,198.58,24.76,918.21,16.15,5.62,0.0,0.0,224.4891884774046,376144.4263120204,19.929021255098355,0.0,0.0,0.0,0.0042483497514317695,11.67344208632759,35.87223996301692,0.0,90.00000972263729,91.1668817148688,90.0,90.00000972263729,90.00000972263729,180.0,0.0,176.1328446051668,0.0,0.0,0.0,0.0
2018-11-17 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.34,2.26,1.0,0.0,0.0,376144.4263120204,0.0,0.0,0.0,0.0,-7.891838416071845,11.670428549068314,0.0,0.0,89.98193899115219,91.1668817148688,90.0,89.98193899115219,89.98193899115219,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-17 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.39,0.8,1.0,0.0,0.0,376144.4263120204,0.0,0.0,0.0,0.0,-10.44680214849152,11.66945344853661,0.0,0.0,89.97609178291702,91.1668817148688,90.0,89.97609178291702,89.97609178291702,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-17 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.16,2.53,1.0,0.0,0.0,376144.4263120204,0.0,0.0,0.0,0.0,-11.273520479692294,11.669137931930994,0.0,0.0,89.97419978180052,91.1668817148688,90.0,89.97419978180052,89.97419978180052,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-17 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.97,2.8,1.0,0.0,0.0,376144.4263120204,0.0,0.0,0.0,0.0,-11.541024550470778,11.66903583914653,0.0,0.0,89.97358758054469,91.1668817148688,90.0,89.97358758054469,89.97358758054469,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-17 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,3.2,1.0,0.0,0.0,376144.4263120204,0.0,0.0,0.0,0.0,-11.627581755249597,11.669002804635968,0.0,0.0,89.9733894884958,91.1668817148688,90.0,89.9733894884958,89.9733894884958,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-18 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.42,3.46,1.0,0.0,0.0,376144.4263120204,0.0,0.0,0.0,0.0,-11.655589365289115,11.668992115546688,0.0,0.0,89.97332539117575,91.1668817148688,90.0,89.97332539117575,89.97332539117575,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-18 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.94,3.35,1.0,0.0,0.0,376144.4263120204,0.0,0.0,0.0,0.0,-11.664651883218205,11.668988656841602,0.0,0.0,89.97330465098723,91.1668817148688,90.0,89.97330465098723,89.97330465098723,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-18 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.58,3.67,1.0,0.0,0.0,376144.4263120204,0.0,0.0,0.0,0.0,-11.667584273066316,11.668987537696598,0.0,0.0,89.97329794001367,91.1668817148688,90.0,89.97329794001367,89.97329794001367,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-18 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.37,3.7,1.0,0.0,0.0,376144.4263120204,0.0,0.0,0.0,0.0,-11.668533116453142,11.668987175571031,0.0,0.0,89.97329576852106,91.1668817148688,90.0,89.97329576852106,89.97329576852106,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-18 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,3.96,1.0,0.0,0.0,376144.4263120204,0.0,0.0,0.0,0.0,-11.668840136942018,11.668987058396826,0.0,0.0,89.97329506588379,91.1668817148688,90.0,89.97329506588379,89.97329506588379,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-18 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61,4.1,1.0,0.0,0.0,376144.4263120204,0.0,0.0,0.0,0.0,-11.668939480606932,11.668987020482371,0.0,0.0,89.97329483852906,91.1668817148688,90.0,89.97329483852906,89.97329483852906,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-18 06:00:00,11.98,0.0,11.54,0.44,42.18,30.12,12.06,548.13,4.35,4.18,0.0,0.0,44.333390689770425,376144.4263120204,9.723434363201616,0.0,0.0,0.0,-11.668971625580092,11.668987008214259,17.502182685071936,0.0,89.9732947649631,91.1668817148688,90.0,89.9732947649631,89.9732947649631,180.0,0.0,180.16531904965385,0.0,0.0,0.0,0.0
2018-11-18 07:00:00,186.69,157.68,25.85,3.17,305.1,278.08,27.02,995.54,6.51,4.84,0.0,0.0,305.9997459955606,376144.4263120204,21.696918969398833,0.0,0.0,0.0,-11.66898202683427,11.668987004244626,39.05445599990494,0.0,89.97329474115912,91.1668817148688,90.0,89.97329474115912,89.97329474115912,180.0,0.0,180.165322642732,0.0,0.0,0.0,0.0
2018-11-18 08:00:00,472.16,436.15,30.0,6.0,578.62,547.26,31.36,1107.94,10.25,3.07,0.0,0.0,579.1569341355123,376144.4263120204,25.232712865274284,0.0,0.0,0.0,-11.668985392412358,11.668987002960156,45.418885314774904,0.0,89.97329473345677,91.1668817148688,90.0,89.97329473345677,89.97329473345677,180.0,0.0,180.1653238053596,0.0,0.0,0.0,0.0
2018-11-18 09:00:00,737.61,697.05,31.99,8.56,825.28,791.84,33.44,1157.17,12.87,1.44,0.0,0.0,825.4581272423094,376144.4263120204,745.8696531180524,0.052941177500199145,0.0,0.0,549.111236598585,13.103956390560324,1342.565439380928,718.4150840193189,89.63130498760302,91.2566784036583,90.0,90.72030517636006,91.2566784036583,180.0,0.0,245.34108730123347,0.8703228671566904,718.4150840193189,0.0,646.5735756173871
2018-11-18 10:00:00,954.88,911.14,33.1,10.64,1025.28,990.68,34.6,1183.4,14.89,2.63,0.0,0.0,1025.4184450526136,376144.4263120204,980.1063290757493,0.052941177500199145,0.0,0.0,945.8259356754342,13.220674582426948,1764.1914761309436,1090.761323751718,89.69680128534297,92.16458696847269,90.0,91.35021769303988,92.16458696847269,180.0,0.0,372.4985389479693,1.0637231356763353,1090.761323751718,0.0,981.6851913765462
2018-11-18 11:00:00,1105.56,1059.77,33.72,12.07,1163.38,1128.14,35.24,1197.16,16.08,4.56,0.0,0.0,1163.398337909079,376144.4263120204,1142.6843683678062,0.052941177500199145,0.0,0.0,1234.808613114926,13.307842279080484,2056.8319607563226,1346.4838821594915,89.77959999605989,92.82594347616157,90.0,91.82065012772802,92.82594347616157,180.0,0.0,459.82862419090407,1.1573713304245075,1346.4838821594915,0.0,1211.8354939435424
2018-11-18 12:00:00,1176.65,1129.92,33.98,12.74,1228.3,1192.78,35.52,1201.69,17.38,5.91,0.0,0.0,1228.2962984640053,376144.4263120204,1219.5429983926988,0.052941177500199145,0.0,0.0,1398.7757169570339,13.360128343158776,2195.1775013721895,1471.1398774879444,89.87282273735174,93.20119334281,90.0,92.10283104300878,93.20119334281,180.0,0.0,502.3990519461164,1.1977076535422415,1471.1398774879444,0.0,1324.02588973915
2018-11-18 13:00:00,1163.74,1117.15,33.97,12.62,1216.44,1180.94,35.5,1199.49,18.38,7.26,0.0,0.0,1216.439148520017,376144.4263120204,1205.754408665507,0.052941177500199145,0.0,0.0,1426.0495010374837,13.373927362683354,2170.3580386843832,1454.995413144853,89.97176658248729,93.26361125225263,90.0,92.17730251123007,93.26361125225263,180.0,0.0,496.8856648751348,1.1961103150248626,1454.995413144853,0.0,1309.4958718303678
2018-11-18 14:00:00,1067.98,1022.65,33.62,11.71,1128.74,1093.6,35.14,1190.35,19.02,7.97,0.0,0.0,1128.6667084914343,376144.4263120204,1102.4260354009011,0.052941177500199145,0.0,0.0,1314.7955735880964,13.348299256667007,1984.3669579739903,1299.2229429764216,90.0695807907835,93.00899907419222,90.0,92.03899104066734,93.00899907419222,180.0,0.0,443.68885977897077,1.1511130196379684,1299.2229429764216,0.0,1169.3006486787795
2018-11-18 15:00:00,896.72,853.74,32.89,10.08,971.6,937.22,34.38,1172.14,18.45,8.33,0.0,0.0,971.741767642077,376144.4263120204,918.0336066949935,0.052941177500199145,0.0,0.0,1071.036312789159,13.28460524723403,1652.46057053865,1012.4431921260538,90.16054408210529,92.45113943060662,90.0,91.69524296560118,92.45113943060662,180.0,0.0,345.75264232656144,1.041885021143774,1012.4431921260538,0.0,911.1988729134484
2018-11-18 16:00:00,664.16,624.72,31.59,7.85,757.06,724.04,33.02,1139.49,17.69,8.37,0.0,0.0,757.2761053885832,376144.4263120204,667.7497817469905,0.052941177500199145,0.0,0.0,718.7889493886952,13.188963864080185,1201.9496642341257,624.0480594844663,90.23312401650941,91.64499738719668,90.0,91.17907917486988,91.64499738719668,180.0,0.0,213.11444156429584,0.8240693916576791,624.0480594844663,0.0,561.6432535360196
2018-11-18 17:00:00,390.97,356.58,29.18,5.21,501.76,471.26,30.5,1077.73,16.43,7.24,0.0,0.0,502.1936306752215,376144.4263120204,24.509482539506088,0.0,0.0,0.0,25.067456388606963,11.683007446170011,44.11707066655928,0.0,90.05736857849303,91.17907917486988,90.0,90.05736857849303,90.05736857849303,180.0,0.0,169.3159827975512,0.0,0.0,0.0,0.0
2018-11-18 18:00:00,110.79,84.58,23.84,2.37,228.1,203.18,24.92,929.23,15.22,5.56,0.0,0.0,229.09705234118758,376144.4263120204,20.009380520789378,0.0,0.0,0.0,0.21794931254405628,11.673523645184885,36.01688664813112,0.0,90.00049879182197,91.17907917486988,90.0,90.00049879182197,90.00049879182197,180.0,0.0,177.9001611522881,0.0,0.0,0.0,0.0
2018-11-18 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.35,2.41,1.0,0.0,0.0,376144.4263120204,0.0,0.0,0.0,0.0,-7.822690466493634,11.670454939346008,0.0,0.0,89.98209724093675,91.17907917486988,90.0,89.98209724093675,89.98209724093675,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-18 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,0.25,1.0,0.0,0.0,376144.4263120204,0.0,0.0,0.0,0.0,-10.424427710546137,11.669461987728795,0.0,0.0,89.97614298833969,91.17907917486988,90.0,89.97614298833969,89.97614298833969,180.0,0.0,0.0,0.0,0.0,0.0,0.0
