Ton vapor,,,,consumo agua,,,consumo GN,,
Caldera Loos,Caldera Salcor,Caldera Visa,Desgasificador,Caldera Loos,Caldera Salcor,Caldera Visa,Caldera Loos,Caldera Salcor,Caldera Visa
192.0,0.0,0.0,16.0,204.0,0.2,0.0,"13,560.0",0.0,0.0
214.0,0.0,0.0,17.0,227.0,0.0,0.0,"15,295.0",0.0,0.0
130.0,0.0,0.0,10.0,141.0,0.0,0.0,"8,983.0",0.0,0.0
91.0,0.0,0.0,8.0,101.0,0.0,0.0,"6,321.0",0.0,0.0
142.0,0.0,0.0,12.0,150.0,0.9,0.0,"9,925.0",0.0,0.0
209.0,0.0,0.0,15.0,224.0,0.0,0.0,"14,860.0",0.0,0.0
195.0,2.0,0.0,15.0,207.0,0.8,0.0,"13,702.0",460.0,0.0
247.0,2.0,0.0,18.0,261.0,0.0,0.0,"17,886.0",221.0,0.0
223.0,2.0,0.0,23.0,238.0,0.0,0.0,"16,118.0",264.0,0.0
53.0,2.0,0.0,4.0,62.0,1.8,0.0,"3,873.0",299.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.0,4.0,0.0,8.0,103.0,3.5,0.0,"6,674.0",460.0,0.0
157.0,0.0,0.0,13.0,165.0,0.0,0.0,"10,932.0",19.0,0.0
156.0,0.0,0.0,12.0,166.0,0.0,0.0,"10,971.0",145.0,0.0
109.0,2.0,0.0,9.0,119.0,1.0,0.0,"7,851.0",292.0,0.0
36.0,4.0,0.0,4.0,45.0,4.3,0.0,"2,753.0",470.0,0.0
40.0,1.0,0.0,5.0,46.0,0.8,0.0,"3,000.0",200.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134.0,6.0,0.0,16.0,146.0,7.5,0.0,"9,750.0",700.0,0.0
275.0,13.0,0.0,26.0,288.0,15.3,0.0,"19,550.0","1,188.0",0.0
272.0,14.0,0.0,27.0,289.0,15.1,0.0,"19,189.0","1,256.0",0.0
253.0,6.0,0.0,20.0,269.0,7.3,0.0,"18,385.0",601.0,0.0
204.0,6.0,0.0,23.0,218.0,6.9,0.0,"14,394.0",750.0,0.0
94.0,0.0,0.0,11.0,105.0,0.2,0.0,"6,317.0",690.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148.0,14.0,0.0,21.0,162.0,16.4,0.0,"10,253.0","1,256.0",0.0
235.0,22.0,0.0,24.0,248.0,25.1,0.0,"16,456.0","1,748.0",0.0
215.0,9.0,0.0,17.0,226.0,10.5,0.0,"15,128.0",879.0,0.0
206.0,8.0,0.0,17.0,218.0,8.3,0.0,"14,481.0",739.0,0.0
248.0,3.0,0.0,19.0,262.0,4.9,0.0,"17,348.0",362.0,0.0
76.0,2.0,0.0,7.0,86.0,0.9,0.0,"5,351.0",182.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131.0,3.0,0.0,13.0,139.0,3.4,0.0,"9,398.0",519.0,0.0
249.0,15.0,0.0,19.0,263.0,17.0,0.0,"17,748.0","1,346.0",0.0
275.0,21.0,0.0,22.0,291.0,23.9,0.0,"19,840.0","1,686.0",0.0
261.0,24.0,0.0,25.0,277.0,25.8,0.0,"18,754.0","2,062.0",0.0
259.0,24.0,0.0,29.0,274.0,27.8,0.0,"18,809.0","1,906.0",0.0
133.0,1.0,0.0,16.0,146.0,0.4,0.0,"9,542.0",102.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,7.0,0.0,15.0,137.0,7.4,0.0,"9,130.0",796.0,0.0
244.0,9.0,0.0,31.0,257.0,10.3,0.0,"17,376.0",979.0,0.0
258.0,12.0,0.0,31.0,274.0,13.8,0.0,"18,620.0","1,100.0",0.0
229.0,8.0,0.0,29.0,245.0,10.0,0.0,"16,356.0",879.0,0.0
222.0,7.0,0.0,29.0,237.0,8.2,0.0,"15,920.0",749.0,0.0
108.0,0.0,0.0,14.0,119.0,1.2,0.0,"7,522.0",0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,3.0,0.0,9.0,80.0,3.6,0.0,"5,275.0",365.0,0.0
213.0,1.0,0.0,25.0,232.0,0.5,0.0,"15,286.0",80.0,0.0
215.0,0.0,0.0,27.0,233.0,2.1,0.0,"15,274.0",5.0,0.0
166.0,2.0,0.0,22.0,184.0,0.8,0.0,"11,765.0",265.0,0.0
186.0,1.0,0.0,24.0,202.0,0.0,0.0,"13,075.0",130.0,0.0
120.0,0.0,0.0,16.0,134.0,0.0,0.0,"8,595.0",0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,4.0,0.0,8.0,58.0,3.1,0.0,"3,850.0",692.0,0.0
221.0,17.0,0.0,26.0,234.0,18.3,0.0,"15,850.0","1,424.0",0.0
309.0,37.0,0.0,27.0,326.0,41.0,0.0,"22,031.0","2,931.0",0.0
261.0,37.0,0.0,24.0,276.0,41.4,0.0,"18,764.0","2,931.0",0.0
251.0,29.0,0.0,21.0,267.0,31.5,0.0,"17,983.0","2,403.0",0.0
132.0,4.0,0.0,10.0,144.0,5.2,0.0,"9,398.0",519.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114.0,11.0,0.0,15.0,124.0,12.9,0.0,"8,450.0","1,016.0",0.0
216.0,23.0,0.0,20.0,227.0,24.1,0.0,"15,345.0","1,976.0",0.0
204.0,15.0,0.0,28.0,218.0,17.1,0.0,"14,676.0","1,346.0",0.0
217.0,8.0,0.0,22.0,231.0,9.7,0.0,"15,684.0",750.0,0.0
221.0,12.0,1.0,19.0,235.0,13.7,0.0,"15,961.0","1,100.0",80.0
114.0,1.0,0.0,14.0,124.0,0.9,1.0,"8,413.0",92.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159.0,7.0,0.0,23.0,173.0,7.6,0.0,"11,841.0",656.0,0.0
248.0,5.0,0.0,25.0,265.0,6.0,0.0,"17,348.0",478.0,0.0
216.0,4.0,0.0,23.0,229.0,4.5,0.0,"15,345.0",519.0,0.0
192.0,6.0,0.0,23.0,209.0,7.7,0.0,"13,722.0",736.0,85.0
37.0,9.0,0.0,5.0,50.0,7.7,0.0,"2,686.0",743.0,157.0
0.0,4.0,40.0,0.0,36.0,8.9,39.0,0.0,775.0,"3,518.0"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147.0,4.0,0.0,17.0,174.0,3.2,0.0,"10,792.0",469.0,0.0
188.0,1.0,0.0,14.0,198.0,1.0,0.0,"13,431.0",203.0,0.0
184.0,48.0,21.0,27.0,196.0,53.7,21.0,"13,280.0","4,016.0","1,847.0"
0.0,140.0,78.0,23.0,0.0,151.4,80.0,0.0,"11,014.0","6,052.0"
4.0,114.0,71.0,19.0,6.0,121.7,72.0,475.0,"8,832.0","5,438.0"
2.0,101.0,22.0,11.0,3.0,109.3,25.0,165.0,"7,875.0","1,770.0"
3.0,51.0,0.0,7.0,3.0,53.7,0.0,289.0,"3,799.0",0.0
158.0,1.0,0.0,19.0,167.0,1.9,0.0,"11,385.0",179.0,0.0
285.0,18.0,0.0,26.0,300.0,20.1,0.0,"20,740.0","1,510.0",0.0
250.0,9.0,0.0,26.0,264.0,11.1,0.0,"18,096.0",898.0,0.0
248.0,10.0,0.0,27.0,261.0,11.9,0.0,"17,966.0",919.0,0.0
216.0,4.0,0.0,23.0,227.0,5.5,0.0,"15,441.0",453.0,0.0
122.0,1.0,0.0,16.0,132.0,0.4,0.0,"8,628.0",94.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145.0,6.0,0.0,15.0,157.0,6.9,0.0,"10,548.0",700.0,0.0
265.0,24.0,0.0,28.0,280.0,27.2,0.0,"19,043.0","1,925.0",0.0
212.0,3.0,0.0,18.0,225.0,4.8,0.0,"15,206.0",358.0,0.0
238.0,8.0,0.0,20.0,252.0,10.3,0.0,"17,088.0",814.0,0.0
269.0,11.0,0.0,24.0,283.0,12.3,0.0,"19,130.0",962.0,0.0
142.0,0.0,0.0,12.0,154.0,0.8,0.0,"10,345.0",66.0,0.0
